ReportingPeriodStartDate,ReportingPeriodEndDate,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Final_value
01/05/2019,31/05/2019,AgeAtBookingMotherAvg,National,ALL,All Submitters,,Average over women,31
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,20 to 24,Women,8285
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,25 to 29,Women,15845
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,30 to 34,Women,17935
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,35 to 39,Women,10200
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,40 to 44,Women,2310
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,45 or Over,Women,215
01/05/2019,31/05/2019,AgeAtBookingMotherGroup,National,ALL,All Submitters,Under 20,Women,2115
01/05/2019,31/05/2019,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Maternal or Donor Breast Milk,Babies,17805
01/05/2019,31/05/2019,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Missing Value / Value outside reporting parameters,Babies,6195
01/05/2019,31/05/2019,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Not Breast Milk,Babies,6780
01/05/2019,31/05/2019,CCP_Antenatal,National,ALL,All Submitters,,Women,3455
01/05/2019,31/05/2019,CCP_Any_Pathways,National,ALL,All Submitters,,Women,3905
01/05/2019,31/05/2019,CCP_Birth,National,ALL,All Submitters,,Women,250
01/05/2019,31/05/2019,CCP_Postpartum,National,ALL,All Submitters,,Women,330
01/05/2019,31/05/2019,ComplexSocialFactorsInd,National,ALL,All Submitters,Missing Value,Women,8135
01/05/2019,31/05/2019,ComplexSocialFactorsInd,National,ALL,All Submitters,N,Women,36210
01/05/2019,31/05/2019,ComplexSocialFactorsInd,National,ALL,All Submitters,Y,Women,13300
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Elective caesarean section,Women,3835
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Emergency caesarean section,Women,4995
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Instrumental,Women,2970
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Missing Value/Value outside reporting parameters,Women,1145
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Other,Women,465
01/05/2019,31/05/2019,DeliveryMethodBabyGroup,National,ALL,All Submitters,Spontaneous,Women,16970
01/05/2019,31/05/2019,DeprivationDecileAtBooking,National,ALL,All Submitters,01 - Most deprived,Women,7720
