Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
Feb-19,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.8
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,7887
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,15113
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,17207
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9077
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,1974
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,140
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Missing Value,,Women,3
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,1972
Feb-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Feb-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,1972
Feb-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,51397
Feb-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Missing Value,,Women,3
Feb-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Feb-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,456
Feb-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,38698
Feb-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,763
Feb-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,30044
Feb-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,3720
Feb-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,10052
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,43
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1131
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,6444
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,15175
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,12615
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,3761
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,512
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,50
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,13
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,10
Feb-19,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,128
Feb-19,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,38557
Feb-19,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,13
Feb-19,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1184
Feb-19,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,128
Feb-19,BMI,National,ALL,,All Submitters,Missing Value,,Women,7249
Feb-19,BMI,National,ALL,,All Submitters,Normal,,Women,21610
Feb-19,BMI,National,ALL,,All Submitters,Obese,,Women,10380
Feb-19,BMI,National,ALL,,All Submitters,Overweight,,Women,13400
Feb-19,BMI,National,ALL,,All Submitters,Underweight,,Women,1288
Feb-19,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7
Feb-19,ComplexSocialFactorsInd,National,ALL,,All Submitters,Missing Value,Missing Value,Women,10001
Feb-19,ComplexSocialFactorsInd,National,ALL,,All Submitters,N,No,Women,35511
Feb-19,ComplexSocialFactorsInd,National,ALL,,All Submitters,Value outside reporting parameters,Value outside reporting parameters,Women,11
Feb-19,ComplexSocialFactorsInd,National,ALL,,All Submitters,Y,Yes,Women,8610
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Elective caesarean section,,Babies,6079
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Emergency caesarean section,,Babies,6974
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Instrumental,,Babies,4685
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,280
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Other,,Babies,899
Feb-19,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Spontaneous,,Babies,24921
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,01 - Most deprived,,Women,7023
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,2,,Women,6450
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,3,,Women,6129
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,4,,Women,5682
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,5,,Women,5124
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,6,,Women,4973
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,7,,Women,4564
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,8,,Women,4421
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,9,,Women,4128
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,10 - Least deprived,,Women,3440
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,Missing value / Value outside reporting parameters,,Women,1175
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,Pseudo postcode recorded (includes no fixed abode or resident overseas),,Women,286
Feb-19,DeprivationDecileAtBooking,National,ALL,,All Submitters,"Resident elsewhere in the UK, Channel Islands or Isle of Man",,Women,84
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Any other ethnic group,,Women,2068
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Asian or Asian British,,Women,4999
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Black or Black British,,Women,2168
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,1318
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Mixed,,Women,1079
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Not known,,Women,1500
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Not Stated,,Women,6201
Feb-19,EthnicCategoryMotherGroup,National,ALL,,All Submitters,White,,Women,34582
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Episiotomy,,Women,4439
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Labial tear,,Women,3467
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Other,,Women,351
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - first degree,,Women,3158
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - second degree,,Women,8262
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - third or fourth degree,,Women,619
Feb-19,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Vaginal wall tear,,Women,1419
Feb-19,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,At least one trauma,,Women,17694
Feb-19,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,5205
Feb-19,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,None,,Women,5478
Feb-19,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,0 to 70 days,,Women,30456
Feb-19,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,141+ days,,Women,3972
Feb-19,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,71 to 90 days,,Women,14257
Feb-19,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,91 to 140 days,,Women,4973
Feb-19,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,3
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,27 weeks and under,,Babies,221
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,28 to 31 weeks,,Babies,373
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,32 to 33 weeks,,Babies,405
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,34 to 36 weeks,,Babies,2494
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,37 weeks,,Babies,4005
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,38 weeks,,Babies,6566
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,39 weeks,,Babies,11753
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,40 weeks,,Babies,10664
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,41 weeks,,Babies,6082
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,42 weeks,,Babies,753
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,43 weeks and over,,Babies,67
Feb-19,GestationLengthBirth,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,424
Feb-19,GestationLengthBirthGroup37,National,ALL,,All Submitters,< 37 weeks,,Babies,3493
Feb-19,GestationLengthBirthGroup37,National,ALL,,All Submitters,>= 37 weeks,,Babies,39881
Feb-19,GestationLengthBirthGroup37,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,424
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,At a domestic address,,Babies,791
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Consultant ward,,Babies,14615
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Consultant/GMP/midwife ward,,Babies,21791
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,GMP ward,,Babies,7
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, co-located with consultant obstetric unit",,Babies,2769
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, co-located with other non-obstetric consultant unit",,Babies,227
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, stand alone",,Babies,509
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, type not known",,Babies,2043
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,396
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,None of the above,,Babies,117
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Not known,,Babies,455
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Other hospital or institution,,Babies,4
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Private hospital,,Babies,1
Feb-19,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Ward/unit without delivery facilities,,Babies,148
Feb-19,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,At least one Caesarean,,Women,5992
Feb-19,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,"At least one Previous Birth, zero Caesareans",,Women,16882
Feb-19,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,12244
Feb-19,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,Zero Previous Births,,Women,18845
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,1,,Women,15265
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,2,,Women,5911
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,3,,Women,2164
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,4,,Women,810
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,5+,,Women,596
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,6821
Feb-19,PreviousLiveBirthsGroup,National,ALL,,All Submitters,No previous live births,,Women,22363
Feb-19,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,3868
Feb-19,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,N,No,Women,6390
Feb-19,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,Y,Yes,Women,29427
Feb-19,SmokingStatusGroupBooking,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,1075
Feb-19,SmokingStatusGroupBooking,National,ALL,,All Submitters,Non-Smoker / Ex-Smoker,,Women,43613
Feb-19,SmokingStatusGroupBooking,National,ALL,,All Submitters,Smoker,,Women,6271
Feb-19,SmokingStatusGroupBooking,National,ALL,,All Submitters,Unknown,,Women,2638
Feb-19,Submission_Orgs,National,ALL,,All Submitters,Submitted,,Organisations,130
Feb-19,Submission_Orgs,National,ALL,,All Submitters,Submitted_births_in_month,,Organisations,129
Feb-19,Submission_Orgs,National,ALL,,All Submitters,Submitted_traumas_in_month,,Organisations,127
Feb-19,TotalBabies,National,ALL,,All Submitters,,,Babies,43795
Feb-19,TotalDeliveries,National,ALL,,All Submitters,,,Women,43117
Feb-19,TotalMothers,National,ALL,,All Submitters,,,Women,53372
Feb-19,AgeAtBookingMotherAverage,NHS England (Region),Y56,E40000003,London Commissioning Region,,,Average over women,31.2
Feb-19,AgeAtBookingMotherGroup,NHS England (Region),Y56,E40000003,London Commissioning Region,20 to 24,,Women,1145
Feb-19,AgeAtBookingMotherGroup,NHS England (Region),Y56,E40000003,London Commissioning Region,25 to 29,,Women,2370
Feb-19,AgeAtBookingMotherGroup,NHS England (Region),Y56,E40000003,London Commissioning Region,30 to 34,,Women,3820
Feb-19,AgeAtBookingMotherGroup,NHS England (Region),Y56,E40000003,London Commissioning Region,35 to 39,,Women,2385
Feb-19,AgeAtBookingMotherGroup,NHS England (Region),Y56,E40000003,London Commissioning Region,40 to 44,,Women,565
