Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
January 2018,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.6
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,9188
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,16998
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,18327
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9643
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,2102
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,184
January 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,2267
January 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,2267
January 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,56437
January 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,446
January 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,36570
January 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,2685
January 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,27156
January 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,8094
January 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,9189
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,60
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1062
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,6441
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,15254
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,12254
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,3788
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,458
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,47
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,207
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,10
January 2018,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,116
January 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,38242
January 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,207
January 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1132
January 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,116
January 2018,BMI,National,ALL,,All Submitters,Missing Value,,Women,10901
January 2018,BMI,National,ALL,,All Submitters,Normal,,Women,22392
January 2018,BMI,National,ALL,,All Submitters,Obese,,Women,10388
January 2018,BMI,National,ALL,,All Submitters,Overweight,,Women,13406
January 2018,BMI,National,ALL,,All Submitters,Underweight,,Women,2240
