Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
July 2017,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.7
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,8243
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,15254
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,16568
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9190
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,1982
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,155
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Missing Value,,Women,4
July 2017,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,2131
July 2017,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,2131
July 2017,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,51391
July 2017,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Missing Value,,Women,4
July 2017,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,408
July 2017,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,35509
July 2017,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,1715
July 2017,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,24378
July 2017,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,10251
July 2017,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,8542
July 2017,BMI,National,ALL,,All Submitters,Missing Value,,Women,11072
July 2017,BMI,National,ALL,,All Submitters,Normal,,Women,20150
July 2017,BMI,National,ALL,,All Submitters,Obese,,Women,8723
July 2017,BMI,National,ALL,,All Submitters,Overweight,,Women,11444
July 2017,BMI,National,ALL,,All Submitters,Underweight,,Women,2723
July 2017,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7.4
