ReportingPeriodStartDate,ReportingPeriodEndDate,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Final_value
2019-07-01,2019-07-31,AgeAtBookingMotherAvg,National,ALL,All Submitters,"",Average over women,30.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,20 to 24,Women,8250.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,25 to 29,Women,16210.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,30 to 34,Women,18545.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,35 to 39,Women,10465.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,40 to 44,Women,2365.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,45 or Over,Women,185.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,Under 20,Women,2145.0
2019-07-01,2019-07-31,AgeAtBookingMotherGroup,National,ALL,All Submitters,Value outside reporting parameters,Women,5.0
2019-07-01,2019-07-31,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Maternal or Donor Breast Milk,Babies,18590.0
2019-07-01,2019-07-31,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Missing Value / Value outside reporting parameters,Babies,5990.0
2019-07-01,2019-07-31,BabyFirstFeedBreastMilkStatus,National,ALL,All Submitters,Not Breast Milk,Babies,7260.0
2019-07-01,2019-07-31,CCP_Antenatal,National,ALL,All Submitters,"",Women,4490.0
2019-07-01,2019-07-31,CCP_Any_Pathways,National,ALL,All Submitters,"",Women,5470.0
2019-07-01,2019-07-31,CCP_Birth,National,ALL,All Submitters,"",Women,1030.0
2019-07-01,2019-07-31,CCP_Postpartum,National,ALL,All Submitters,"",Women,820.0
2019-07-01,2019-07-31,ComplexSocialFactorsInd,National,ALL,All Submitters,Missing Value,Women,8495.0
2019-07-01,2019-07-31,ComplexSocialFactorsInd,National,ALL,All Submitters,N,Women,37180.0
2019-07-01,2019-07-31,ComplexSocialFactorsInd,National,ALL,All Submitters,Y,Women,13365.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Elective caesarean section,Women,4140.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Emergency caesarean section,Women,5085.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Instrumental,Women,3175.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Missing Value/Value outside reporting parameters,Women,875.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Other,Women,230.0
2019-07-01,2019-07-31,DeliveryMethodBabyGroup,National,ALL,All Submitters,Spontaneous,Women,17930.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,01 - Most deprived,Women,8010.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,02,Women,7270.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,03,Women,6805.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,04,Women,6085.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,05,Women,5645.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,06,Women,5370.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,07,Women,4990.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,08,Women,4870.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,09,Women,4620.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,10 - Least deprived,Women,3915.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,Missing Value / Value outside reporting parameters,Women,355.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,Pseudo postcode recorded (includes no fixed abode or resident overseas),Women,255.0
2019-07-01,2019-07-31,DeprivationDecileAtBooking,National,ALL,All Submitters,"Resident Elsewhere in UK, Channel Islands or Isle of Man",Women,60.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Any other ethnic group,Women,2330.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Asian or Asian British,Women,5890.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Black or Black British,Women,2490.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Missing Value / Value outside reporting parameters,Women,1870.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Mixed,Women,1150.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Not Stated,Women,5475.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,Not known,Women,1800.0
2019-07-01,2019-07-31,EthnicCategoryMotherGroup,National,ALL,All Submitters,White,Women,37800.0
2019-07-01,2019-07-31,FolicAcidSupplement,National,ALL,All Submitters,Has been taking prior to becoming pregnant,Women,11960.0
2019-07-01,2019-07-31,FolicAcidSupplement,National,ALL,All Submitters,Missing Value/Value outside reporting parameters,Women,9750.0
