ReportingPeriodStartDate,ReportingPeriodEndDate,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Final_value
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Not known,Women,5.0
2019-06-01,2019-06-30,EthnicCategoryMotherGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),White,Women,435.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Has been taking prior to becoming pregnant,Women,105.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value/Value outside reporting parameters,Women,340.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Not Stated (Person asked but declined to provide a response),Women,5.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Not taking folic acid supplement,Women,55.0
2019-06-01,2019-06-30,FolicAcidSupplement,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Started taking once pregnancy confirmed,Women,305.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),0 to 70 days,Women,470.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),141+ days,Women,45.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),71 to 90 days,Women,245.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),91 to 140 days,Women,50.0
2019-06-01,2019-06-30,GestAgeFormalAntenatalBookingGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Women,5.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),27 weeks and under,Babies,10.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),28 to 31 weeks,Babies,5.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),32 to 33 weeks,Babies,10.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),34 to 36 weeks,Babies,35.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),37 weeks,Babies,65.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),38 weeks,Babies,100.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),39 weeks,Babies,135.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),40 weeks,Babies,145.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),41 weeks,Babies,65.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),42 weeks,Babies,10.0
2019-06-01,2019-06-30,GestationLengthBirth,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Babies,5.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),<37 weeks,Babies,60.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),>=37 weeks,Babies,520.0
2019-06-01,2019-06-30,GestationLengthBirthGroup37,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Babies,5.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Home (NHS care),Babies,15.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Maternity assessment or triage unit/ area,Babies,110.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Babies,5.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),NHS Alongside midwifery unit,Babies,85.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),NHS Freestanding midwifery unit (FMU),Babies,15.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),NHS Obstetric unit (including theatre),Babies,345.0
2019-06-01,2019-06-30,PlaceTypeActualDeliveryMidwifery,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Not known (not recorded),Babies,5.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),At least one Caesarean,Women,65.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),"At least one Previous Birth, zero Caesareans",Women,175.0
2019-06-01,2019-06-30,PreviousCaesareanSectionsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Zero Previous Births,Women,570.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),1,Women,160.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),2,Women,55.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),3,Women,20.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),4,Women,5.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),5+,Women,5.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Women,340.0
2019-06-01,2019-06-30,PreviousLiveBirthsGroup,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),No previous live births,Women,230.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Missing Value / Value outside reporting parameters,Babies,125.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),N,Babies,45.0
2019-06-01,2019-06-30,SkinToSkinContact1HourTerm,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),Y,Babies,410.0
2019-06-01,2019-06-30,TotalBabies,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),"",Babies,580.0
2019-06-01,2019-06-30,TotalBookings,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),"",Women,810.0
2019-06-01,2019-06-30,TotalDeliveries,"NHS England (Region, Local Office)",Q84,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),"",Women,575.0
2019-06-01,2019-06-30,AgeAtBookingMotherAvg,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),"",Average over women,29.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),20 to 24,Women,330.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),25 to 29,Women,570.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),30 to 34,Women,575.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),35 to 39,Women,285.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),40 to 44,Women,75.0
2019-06-01,2019-06-30,AgeAtBookingMotherGroup,"NHS England (Region, Local Office)",Q85,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),45 or Over,Women,5.0
