Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
Mar-19,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.9
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,7912
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,15424
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,17994
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9798
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,2041
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,185
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Missing Value,,Women,1
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,1984
Mar-19,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Mar-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,1984
Mar-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,53351
Mar-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Missing Value,,Women,1
Mar-19,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Mar-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,469
Mar-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,42584
Mar-19,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,801
Mar-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,32508
Mar-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,4612
Mar-19,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,10916
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,51
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1249
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,7116
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,16965
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,13611
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,4051
Mar-19,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,569
