Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
Nov-17,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.7
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,8428
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,16171
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,17522
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9552
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,2009
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,182
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,2105
Nov-17,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Nov-17,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,2105
Nov-17,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,53861
Nov-17,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
Nov-17,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,413
Nov-17,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,34908
Nov-17,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,2935
Nov-17,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,25964
Nov-17,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,8389
Nov-17,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,8559
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,45
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,969
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,5999
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,14342
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,11966
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,3699
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,533
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,46
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,549
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,1
Nov-17,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,103
Nov-17,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,36585
Nov-17,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,549
Nov-17,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1015
Nov-17,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,103
Nov-17,BMI,National,ALL,,All Submitters,Missing Value,,Women,9336
Nov-17,BMI,National,ALL,,All Submitters,Normal,,Women,22437
Nov-17,BMI,National,ALL,,All Submitters,Obese,,Women,9946
Nov-17,BMI,National,ALL,,All Submitters,Overweight,,Women,13067
Nov-17,BMI,National,ALL,,All Submitters,Underweight,,Women,1803
Nov-17,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7.4
Nov-17,ComplexSocialFactorsInd,National,ALL,,All Submitters,Missing Value,Missing Value,Women,12003
Nov-17,ComplexSocialFactorsInd,National,ALL,,All Submitters,N,No,Women,38906
Nov-17,ComplexSocialFactorsInd,National,ALL,,All Submitters,Value outside reporting parameters,Value outside reporting parameters,Women,4
Nov-17,ComplexSocialFactorsInd,National,ALL,,All Submitters,Y,Yes,Women,5582
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Elective caesarean section,,Babies,5765
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Emergency caesarean section,,Babies,6611
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Instrumental,,Babies,4654
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,692
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Other,,Babies,1188
Nov-17,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Spontaneous,,Babies,24006
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,2,,Women,6990
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,3,,Women,6444
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,4,,Women,6058
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,5,,Women,5473
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,6,,Women,5154
Nov-17,DeprivationDecileAtBooking,National,ALL,,All Submitters,7,,Women,4929
