Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
October 2018,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.9
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,7872
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,15195
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,17468
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9683
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,2081
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,161
October 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,1991
October 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,1991
October 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,52454
October 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,492
October 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,39857
October 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,2434
October 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,31645
October 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,4853
October 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,10256
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,67
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1106
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,6729
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,16244
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,13521
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,4159
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,554
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,42
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,240
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,7
October 2018,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,110
October 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,41249
October 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,240
October 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1180
October 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,110
October 2018,BMI,National,ALL,,All Submitters,Missing Value,,Women,9232
October 2018,BMI,National,ALL,,All Submitters,Normal,,Women,21321
October 2018,BMI,National,ALL,,All Submitters,Obese,,Women,10265
October 2018,BMI,National,ALL,,All Submitters,Overweight,,Women,12847
October 2018,BMI,National,ALL,,All Submitters,Underweight,,Women,1383
October 2018,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7.3
October 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,Missing Value,Missing Value,Women,10354
October 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,N,No,Women,39534
October 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,Value outside reporting parameters,Value outside reporting parameters,Women,3
October 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,Y,Yes,Women,5048
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Elective caesarean section,,Babies,6563
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Emergency caesarean section,,Babies,7429
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Instrumental,,Babies,5072
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,308
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Other,,Babies,1152
October 2018,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Spontaneous,,Babies,26233
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,01 - Most deprived,,Women,7208
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,02,,Women,6449
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,03,,Women,6207
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,04,,Women,5746
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,05,,Women,5235
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,06,,Women,5069
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,07,,Women,4643
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,08,,Women,4390
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,09,,Women,4190
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,10 - Least deprived,,Women,3751
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,Missing value / Value outside reporting parameters,,Women,1266
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,Pseudo postcode recorded (includes no fixed abode or resident overseas),,Women,326
October 2018,DeprivationDecileAtBooking,National,ALL,,All Submitters,"Resident elsewhere in the UK, Channel Islands or Isle of Man",,Women,72
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Any other ethnic group,,Women,2211
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Asian or Asian British,,Women,5264
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Black or Black British,,Women,2292
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,1567
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Mixed,,Women,1002
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Not known,,Women,2719
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,Not Stated,,Women,4680
October 2018,EthnicCategoryMotherGroup,National,ALL,,All Submitters,White,,Women,35195
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Episiotomy,,Women,4786
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Labial tear,,Women,3281
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Other,,Women,341
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - first degree,,Women,3041
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - second degree,,Women,8463
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Perineal tear - third or fourth degree,,Women,659
October 2018,GenitalTractTraumaticLesion,National,ALL,,All Submitters,Vaginal wall tear,,Women,1307
October 2018,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,At least one trauma,,Women,18185
October 2018,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,6316
October 2018,GenitalTractTraumaticLesionGroup,National,ALL,,All Submitters,None,,Women,4828
October 2018,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,0 to 70 days,,Women,30599
October 2018,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,141+ days,,Women,4256
October 2018,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,71 to 90 days,,Women,14943
October 2018,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,91 to 140 days,,Women,4932
October 2018,GestAgeFormalAntenatalBookingGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,3
October 2018,GestationLengthBirth,National,ALL,,All Submitters,27 weeks and under,,Babies,208
October 2018,GestationLengthBirth,National,ALL,,All Submitters,28 to 31 weeks,,Babies,340
October 2018,GestationLengthBirth,National,ALL,,All Submitters,32 to 33 weeks,,Babies,430
October 2018,GestationLengthBirth,National,ALL,,All Submitters,34 to 36 weeks,,Babies,2754
October 2018,GestationLengthBirth,National,ALL,,All Submitters,37 weeks,,Babies,4130
October 2018,GestationLengthBirth,National,ALL,,All Submitters,38 weeks,,Babies,6842
October 2018,GestationLengthBirth,National,ALL,,All Submitters,39 weeks,,Babies,12489
October 2018,GestationLengthBirth,National,ALL,,All Submitters,40 weeks,,Babies,11468
October 2018,GestationLengthBirth,National,ALL,,All Submitters,41 weeks,,Babies,6827
October 2018,GestationLengthBirth,National,ALL,,All Submitters,42 weeks,,Babies,964
October 2018,GestationLengthBirth,National,ALL,,All Submitters,43 weeks and over,,Babies,60
October 2018,GestationLengthBirth,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,237
October 2018,GestationLengthBirthGroup37,National,ALL,,All Submitters,< 37 weeks,,Babies,3732
October 2018,GestationLengthBirthGroup37,National,ALL,,All Submitters,>= 37 weeks,,Babies,42779
October 2018,GestationLengthBirthGroup37,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,237
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,At a domestic address,,Babies,749
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Consultant ward,,Babies,14608
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Consultant/GMP/midwife ward,,Babies,23762
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,GMP ward,,Babies,3
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, co-located with consultant obstetric unit",,Babies,3337
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, co-located with other non-obstetric consultant unit",,Babies,92
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, stand alone",,Babies,578
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,"Midwifery unit, type not known",,Babies,1839
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,1100
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,None of the above,,Babies,154
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Not known,,Babies,404
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Other hospital or institution,,Babies,5
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Private hospital,,Babies,0
October 2018,PlaceTypeActualDeliveryMidwifery,National,ALL,,All Submitters,Ward/unit without delivery facilities,,Babies,130
October 2018,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,At least one Caesarean,,Women,5756
October 2018,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,"At least one Previous Birth, zero Caesareans",,Women,16660
October 2018,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,13582
October 2018,PreviousCaesareanSectionsGroup,National,ALL,,All Submitters,Zero Previous Births,,Women,18966
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,1,,Women,14568
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,2,,Women,5625
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,3,,Women,2110
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,4,,Women,758
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,5+,,Women,623
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,10370
October 2018,PreviousLiveBirthsGroup,National,ALL,,All Submitters,No previous live births,,Women,20945
October 2018,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,4431
October 2018,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,N,No,Women,6819
October 2018,SkinToSkinContact1HourTerm,National,ALL,,All Submitters,Y,Yes,Women,31289
October 2018,SmokingStatusGroupBooking,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Women,2415
October 2018,SmokingStatusGroupBooking,National,ALL,,All Submitters,Non-Smoker / Ex-Smoker,,Women,44985
October 2018,SmokingStatusGroupBooking,National,ALL,,All Submitters,Smoker,,Women,6091
October 2018,SmokingStatusGroupBooking,National,ALL,,All Submitters,Unknown,,Women,1258
October 2018,Submission_Orgs,National,ALL,,All Submitters,Submitted,,Organisations,125
October 2018,Submission_Orgs,National,ALL,,All Submitters,Submitted_births_in_month,,Organisations,123
October 2018,Submission_Orgs,National,ALL,,All Submitters,Submitted_traumas_in_month,,Organisations,120
