Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
September 2018,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.9
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,7225
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,13994
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,16155
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,8801
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,1887
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,166
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,1796
September 2018,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
September 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,1796
September 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,48222
September 2018,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,Value outside reporting parameters,,Women,1
September 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,494
September 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,41586
September 2018,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,2383
September 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,32490
September 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,5178
September 2018,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,10726
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,65
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1146
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,6828
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,16908
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,14182
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,4320
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,579
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,46
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,251
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,15
September 2018,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,112
September 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,42863
September 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,251
September 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1226
September 2018,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,112
September 2018,BMI,National,ALL,,All Submitters,Missing Value,,Women,7509
September 2018,BMI,National,ALL,,All Submitters,Normal,,Women,19770
September 2018,BMI,National,ALL,,All Submitters,Obese,,Women,9716
September 2018,BMI,National,ALL,,All Submitters,Overweight,,Women,12196
September 2018,BMI,National,ALL,,All Submitters,Underweight,,Women,1263
September 2018,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7.5
September 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,Missing Value,Missing Value,Women,9502
September 2018,ComplexSocialFactorsInd,National,ALL,,All Submitters,N,No,Women,36199
